title,label
Microsoft Ordered to Delete Browser,0
"""Jimmy Kimmel"" Blended ""Scandal"" With ""Gossip Girl""",1
Jansa reelected President of Slovenian Democratic Party,0
Obama Signs Spending Bill but Criticizes Earmarks,0
"16 Tweets, Memes, And Reactions That Capture Modi's Surprise Visit To Pakistan",1
Supreme Court Ruling Offers Little Guidance on Hiring,0
"19 Times India Was Way, Way More Gender Progressive In 2015",1
Warrants issued for 28 in Iraqi corruption scandal,0
An MGM Partner Sues Over Project,0
17 Words That Take On New Meaning When You Have Periods,1
15 Weird Things You Never Knew There Were Words For,1
26 Moms Who Officially Out-Mommed Themselves In 2015,1
"Seven youths shot in Detroit, Michigan",0
Do You Own A Cat Or Does Your Cat Own You,1
16 Confessions Your Hairdresser Will Never Tell You,1
A City Adds a String of Arsons to Its List of Troubles,0
Johnson ousts Livingstone in London mayoral election,0
Which TV Character Alter Ego Are You,1
"How Well Do You Remember ""Jersey Shore""",1
Japan likely to change law to allow female heirs to the throne,0
"David Bowie's Musical ""Lazarus"" Showcases His Enduring Legacy",1
"Which Character From ""The Royals"" Are You",1
Missouri Is Too Much for Cornell,0
"Morsi forced out by Egyptian Military, chaos ensues",0
Disney Villains Reimagined Without Makeup,1
We Got A Bunch Of Strangers To Give Us Their Netflix Log-In,1
"Aretha Franklin Performing ""A Natural Woman"" For Carole King Will Leave You Speechless",1
19 Christmas Shibas Who Are So Ready For The Holidays,1
Canadian National buys Chicago railroad,0
Revenue and Profits Plunge at Sun Microsystems,0
Things Only People Who Hate Talking On The Phone Will Understand,1
31 Books That Will Restore Your Faith In Humanity,1
NY Sen. Monserrate found guilty of misdemeanor assault,0
Explosions target ethnic Albanians in Croatia,0
"In Search Of The Next ""Battlestar Galactica""",1
Russia celebrates Victory Day,0
Security Council recommends Ban Ki-moon for UN Secretary-General,0
Everyday Struggles Of A Germophobe,1
"Number of private contractors killed in Iraq and Afghanistan passes 1,000",0
"As a Budget Gets Tighter, Police Battle Rising Crime",0
How Creepy Was Terrence Howard's Kiss At The Emmys,1
This What Your Snapchat Story Would Have Looked Like Ten Years Ago,1
Can You Match The Nigella Sexual Innuendo With Her Own Recipe,1
Haitian priest Jean-Juste held in relation to the murder of a journalist,0
"24 Times Angela Was The Funniest Character On ""The Office""",1
How Much Like Kanye West Are You,1
At Least 3 Hostages Reported Slain in Yemen,0
13 Times Harry Potter Was A Gift We Didn't Deserve,1
The Struggle Of Being Mixed Race,1
Plane crash in Congo kills at least 70,0
6.4 magnitude earthquake hits Chile,0
Which Candy Is The Best,1
"US Senate Majority leader Harry Reid criticized over ""Negro"" comments",0
"Which ""Sherlock"" Character Is Your Soulmate Based On Your Taste In Food",1
National Rugby League Women in League Round celebrates sons,0
Court Issues Order Against 3 Car-Warranty Calling Firms,0
23 Yahoo Questions That Will Destroy Your Faith In Humanity,1
The Drake Relays: a Big-Time Meet in a Small-Town Atmosphere,0
21 Funny Tweets About Dating That Are Guaranteed To Make You Laugh,1
Former Pantera-guitarist Dimebag Darrell killed on stage,0
Barnes & Nobel Posts Smaller-Than-Expected Loss,0
"'Invitational Games for the Deaf, Taipei 2008' starts, new slogan for 2009 Summer Deaflympics unveiled",0
32 Tweets About Alcohol That'll Actually Make You Laugh,1
How Good Are You At Visual Estimation,1
This Is The One Reason We Should All Get Rid Of Our Smartphones,1
Cara Delevingne Has Been Accused Of Ripping Off An Indie Brand's T-Shirt,1
What Would Your Life Be Like After Hogwarts,1
Men Have Evidently Rediscovered Headbands And It's Horrifying,1
Can You Identify These Meryl Streep Movies By Their Amazon Reviews,1
29 Things You Need If You're Mysteriously Evil,1
A Corner of the Soccer Field That No U.S. Player Has Claimed,0
