sentence,label
"« Montebourg a pensé capitaliser sur le mécontentement contre Ayrault et ça s'est transformé en un vote contre lui, estime l'élu des Hautes-Pyrénées.Les députés ont dit massivement ce qu'ils ne voulaient pas, mais ils n'ont pas dit ce qu'ils voulaient.»L'UMP, champ de manoeuvres ?",1
"L ' amendement de MmeDalloz est adopté , faisant ainsi tomber la suite du texte et les 134amendements restants. Stupeur à gauche. C ' est un des dispositifs majeurs que le gouvernement voulait léguer avec ce dernier budget du quinquennat qui fait pschitt. Certes , il ne s ' agit là que d ' un contretemps .",0
"Ou ont pensé que cette augmentation s ' inscrivait dans une tendance générale à la hausse pour les revenus supérieurs à la moyenne. En réalité , la mesure redonne un peu de progressivité : le plafonnement du quotient familial revient à limiter un dispositif consistant à donner aux ménages aisés une prime d ' autant plus élevée que leurs revenus sont importants. Cette petite mesure pour la progressivité mérite d ' être saluée car , sur le long terme , on constate que les baisses successives de prélèvement ont toujours touché prioritairement les impôts progressifs : impôt sur le revenu , impôt sur la fortune , impôt sur les sociétés. Comment réconcilier l ' impôt et l ' intérêt général ?",0
"L ' agenda du candidat a été allégé la semaine prochaine pour lui permettre d ' effectuer ce travail. Selon nos informations , M. Macron a demandé à ses équipes de construire un programme qui ne soit pas uniquement concentré sur les cent premiers jours du quinquennat. Ce qu ' il veut , c ' est des mesures qui ont un effet immédiat et d ' autres dont on verra les résultats à plus long terme. L ' idée , c ' est d ' avoir huit semestres utiles , explique un proche .",0
"La défaite de Michel Diefenbacher (UMP), président sortant du conseil général du Lot-et-Garonne, battu au profit d'un divers gauche dans le canton de Marmande-ouest, symbolise la déroute de la droite, qui perd cinq sièges dans ce département, qui repasse à gauche pour la première fois depuis 1978.En parvenant à remporter trois des quatre sièges qui étaient en ballottage, la gauche s'assure également la victoire dans les Deux-Sèvres.De même que dans la Somme, où le PS gagne trois sièges et le PCF un autre.Enfin, la plus grosse surprise vient du Val-d'Oise, dirigé depuis quarante ans par une majorité de droite, où la gauche, qui ne détenait que 17 sièges sur 39 avant ce scrutin, obtient une majorité d'un siège grâce à sa victoire dans le canton d'Argenteuil-est, où Marie-José Cayzac (PCF) l'a emporté avec 22 voix d'avance sur le sortant UMP.",1
"Plutôt que de laisser ses Charlie à l ' abandon , il a eu une autre idée : il les partage. Chaque semaine , il dépose son exemplaire à la cafétéria de son bureau. A la Bourse de Paris , le temple de la finance , sourit-il. Il paraît même que certains le lisent .",1
"Il juge nécessaire que le gouvernement transmette à l'Assemblée, tous les trois à six mois, « un programme législatif prévisionnel » pour que les députés puissent avoir « de la visibilité » et se saisir des textes en amont.Et non découvrir les projets de loi impulsés par les ministres au dernier moment.Une proposition d'apparence technique, qui fait grincer des dents à Matignon, tant elle constituerait une petite révolution dans les pratiques entre le gouvernement et le Parlement.Moyens de contrôle M. de Rugy a également plaidé pour un renforcement des moyens du Parlement en matière d'évaluation et de contrôle des réformes lancées par le gouvernement, une des promesses de campagne d'Emmanuel Macron.",1
"Le poids électoral est considérable : 5 000 votants , dont 3 000 au centre-ville. Historiquement , les Gitans votaient en bloc pour l ' équipe relevant du clan Alduy. Mais l ' UMP n ' est plus certaine d ' en bénéficier. Un habitant du quartier explique : Même s ' ils ne tenaient pas toujours leurs promesses , les Alduy étaient présents , et on les voyait .",1
"Vigilante, mais loyale.Nul besoin de surenchérir avec une nouvelle loi ni de durcir les dispositions existantes.Alors que la droite et l'extrême droite réclament un rétablissement de l'état d'urgence ou l'enfermement préventif des « fichés S » après les attaques djihadistes dans l'Aude, plusieurs députés La République en marche (LRM) opposent une fin de non-recevoir à ces demandes de l'opposition, en jugeant suffisant le dispositif de sécurité actuel.« La logique un événement-une loi moi j'y suis extrêmement réticent », déclare Raphaël Gauvain, rapporteur de la loi antiterroriste (SILT) entrée en vigueur le 1er novembre 2017 pour prendre le relais de l'état d'urgence.",1
"Pour déterminer la dose de proportionnelle, les consultations des uns et des autres permettront d'y voir plus clair.A 10 %, cela ferait quarante députés élus à la proportionnelle.Je doute que, dans ces conditions, on ait beaucoup de diversité politique.Mais, entre 10 % et 25 %, il y a matière à travailler.",1
"Si les dirigeants du FN se félicitent du fait que leurs scores décollent enfin dans certains départements , comme à La Réunion , ils reconnaissent que d ' autres constituent encore de véritables terres de mission. Mme Le Pen , comme son père , n ' a jamais posé un pied en Guadeloupe ou en Martinique dans le cadre de ses fonctions à la tête du FN. Il y a un malentendu sur la question du racisme. Nous avons un chantier important à mener en amont d ' un déplacement , assure-t-on au FN .",1
"Selon lui, « le groupe est rassemblé autour de l'idée qu'il vaut mieux garantir l'intégration » pour « les bénéficiaires du droit à l'asile », mais que, « en même temps », il convient de « rapatrier » dans leur pays ceux qui n'y sont pas éligibles.Un équilibre entre « fermeté et humanité », qui convient en effet à l'immense majorité du groupe LRM.Seule fausse note lors de ce séminaire : quelques élus ont critiqué la méthode d'élaboration du texte, en regrettant que le groupe d'une dizaine de députés qui s'est constitué pour travailler dessus soit issu de la seule commission des lois.Leur demande, consistant à faire participer des députés appartenant à d'autres commissions, a provoqué un petit débat lors de cet « atelier législatif », qui a duré au total une heure et demie, à l'hôtel de Lassay.",1
"« Sa mission, à l'issue de ces entrevues, c'est de fixer le calendrier et l'orientation à suivre.Il doit rentrer dans la technique avec ses ministres », résume un fidèle du chef de l'Etat.Le temps presse car l'agenda a été nettement repoussé par rapport aux ambitions initiales de M. Macron, qui avait « souhaité » que son projet soit « parachevé » à l'été 2018.Un objectif désormais impossible à tenir : selon nos informations, le texte doit être présenté en conseil des ministres au plus tôt fin avril - voire début mai -, puis l'examen au Parlement débutera, avant une adoption définitive à l'automne.",1
"Pour son porte-parole, Olivier Besancenot, M. Sarkozy « engage la France encore plus dans une guerre sans issue menée contre le peuple afghan au nom de la lutte contre les talibans ».Le retour en deuxième lecture, mardi 8 juillet à l'Assemblée nationale, du projet de loi constitutionnelle sur les institutions, lance une course contre la montre.Roger Karoutchi, secrétaire d'Etat chargé des relations avec le Parlement, l'a réaffirmé dimanche : il est déterminé à ce que le Congrès ait lieu lundi 21 juillet à Versailles.Le Sénat devra s'être prononcé la semaine précédente.",0
"Sûrement. Démocrate ? Evidemment , juge Jacques Attali , l ' ancien ­conseiller de François Mitterrand dans L ' Express à propos du nouvel élu. Il y a de l ' homme d ' Etat en Sarkozy , explique Georges-Marc Benamou , un des derniers confidents de l ' ancien président socialiste .",1
"On le constate tous les jours. A gauche , le président de la République ne s ' est pas contenté de désamorcer le débat sur la désignation du prochain candidat socialiste par une éventuelle primaire. Depuis la rentrée de septembre , il est en précampagne permanente. Il ne se passe pas un jour , ou presque , sans qu ' une inauguration , un déplacement , une rencontre ou un discours ne lui donne l ' occasion d ' occuper le terrain et d ' esquisser le profil de rassembleur réaliste qu ' il aimerait présenter aux Français dans dix-huit mois .",1
"Le Sénat est une institution autonome. Et , président du Sénat , c ' est un Sénat autonome que je m ' attacherai à défendre , a souligné M. Larcher , proche de François Fillon , après sa victoire. Les sénateurs n ' ont pas besoin qu ' on leur prescrive leur vote. Le Sénat , c ' est le Sénat .",0
"Ton parfois piquant Pendant trois heures, au sous-sol du 101 rue de l'université, le ministre de l'intérieur voit s'afficher deux types de députés.Les premiers s'indignent de son attitude.C'est le cas de Martine Wonner, députée du Bas-Rhin, psychiatre et ancienne directrice du pôle santé du Samu social de Paris.Matthieu Orphelin, un proche de Nicolas Hulot et ancien d'Europe écologie-Les Verts, plaide aussi pour une davantage de débats sur ce texte.",1
"Ou du moins qu ' il atténue le climat quelque peu anxiogène , voire dépressif , des derniers mois. On n ' attend aucune amélioration de la popularité du président , assure un conseiller du chef de l ' Etat . Mais au moment où arrivent les vacances après des mois éprouvants , ce parcours permettra aux gens de lâcher prise et de partir en vacances le coeur un peu plus léger. Et , peut-être , un peu plus indulgents à l ' égard de leur président. . .",1
"Mais les choses se décanteront sans doute plus vite. Car s ' ils restent dans le groupe historique , ils devront s ' y inscrire avant mardi 20 juin dans la soirée pour participer à l ' élection de son président. Un groupe au sein duquel ils ne sont plus vraiment les bienvenus. Dès dimanche soir , certains ténors ont sorti les couteaux .",1
"Il y a un lien fort de travail , de dialogue et de confiance. On nous promet tous les quinze jours qu ' il n ' y aura pas de majorité , et à chaque fois , il y a eu une majorité de gauche. Comment est l ' ambiance dans le groupe socialiste ? Beaucoup de députés n ' acceptent plus la façon dont certains s ' affranchissent des règles élémentaires d ' un collectif , a fortiori dans une société qui a besoin de règles .",1
"» Rien n'y a fait.Par une subtile manoeuvre permettant de le faire tomber, l'amendement de M. Mercier, qui avait recueilli le soutien de tous les bancs du Sénat - hormis celui de l'UMP - et pouvait donc être majoritaire, n'a pu être soumis au vote.Le rideau est tombé, mercredi 1er octobre, sur dix ans de présidence du Sénat de Christian Poncelet.Le sénateur des Vosges avait été élu, en 1998, sur la promesse d' « une présidence modeste pour un Sénat ambitieux ».",0
"Ils sont dans leur coin , dans leur bulle. Les ministres se voient régulièrement mais on se croise peut-être un peu moins , remarque ce dernier. Des frictions naissent parfois , révélatrices des tensions entre les ministres. Au lendemain de la présentation du projet de loi Sapin 2 sur la lutte contre la corruption et la modernisation de la vie économique , le 13 avril , le ministère de l ' économie publiait son propre dossier de presse détaillant les mesures issues de la stratégie pour les nouvelles opportunités économiques ( #noé ) portée par M. Macron .",1
"Il espère que ses qualités de combattant lui permettront d ' être le dernier survivant de la compétition interne de la droite. Récemment , il a confié à l ' un de ses proches : Ce n ' est pas le meilleur qui gagne mais celui qui reste sur la paroi à la fin , une fois que les autres ont tous décroché. . . Pour préparer 2017 , les sarkozystes aiment à se ­remémorer le passé. Alors que les sondages décrivent un Alain Juppé stratosphérique et un Nicolas Sarkozy cataleptique , l ' ancien président de la République se raccroche au souvenir de 1995 et y voit un motif d ' espoir .",0
"Crainte d ' un nouveau clan Beaucoup , au gouvernement comme chez des élus corses de droite ou de gauche , redoutent qu ' un nouveau clan , une nouvelle dynastie , soit en train de s ' installer à la tête de l ' exécutif , avec une concentration extrême des pouvoirs. Au sommet de l ' Etat , certains estiment que le gouvernement précédent et son M. Corse , Jean-Michel Baylet , ont trop lâché lors des négociations avec les nationalistes. Il a même été envisagé de retoucher le dispositif institutionnel , en tentant d ' enfoncer un coin entre autonomistes et indépendantistes. Ces réflexions ont tourné court .",0
"C ' est vrai que , sur certains points , il a un passif lourd : c ' est le cas sur la réforme territoriale où , depuis des décennies , compte tenu de sa composition , il est arc-bouté sur la défense des communes et des départements. Cela dit , je pense que le bicamérisme est un bien , d ' autant plus dans nos sociétés où la pression de l ' actualité incite les gouvernements à légiférer dans l ' urgence. Dans ce contexte , le fait que les textes fassent la navette entre deux chambres permet d ' améliorer leur qualité. Quant aux réformes possibles du Sénat , il faut peut-être réfléchir à améliorer sa représentativité en généralisant la proportionnelle sur une base régionale et non plus départementale .",0
"Lundi après-midi, une autre attitude devait être scrutée : celle de Marine Le Pen.Samedi, sur Twitter, elle a dénoncé des frappes qui « nous engagent dans une voie aux conséquences imprévisibles et potentiellement dramatiques .« La France perd à nouveau une occasion d'apparaître sur la scène internationale comme une puissance indépendante et d'équilibre dans le monde », a-t-elle encore déclaré.La présidente du Front national n'aura pas la parole lundi, car elle ne dispose pas de groupe parlementaire à l'Assemblée nationale où elle est élue.",0
"Après avoir annoncé le 26 novembre 2017 qu'il rejoignait LRM, il avait d'abord tenté de rester à son poste avant d'être contraint de démissionner puisqu'il ne pouvait plus prétendre appartenir à l'opposition.« Cet épisode a été formateur pour tout le monde », note le député LRM Sacha Houlié, premier concerné car il a été vice-président par intérim le temps de la crise.Mardi, il a laissé sa place au centriste Yves Jégo, élu avec 261 voix.« Dans le vote de la majorité en juin il y avait une forme d'expression d'opposition aux usages, mais ces derniers ont leur importance », résume pour sa part Laurianne Rossi, l'une des deux questrices LRM qui travaillera désormais avec M. Ciotti.",0
"Tous les mercredis, il participe au conseil de défense qui précède le conseil des ministres.Et l'ancien professeur de lettres a son rond de serviette aux dîners de la majorité qui se déroulent le lundi soir à l'Elysée, où les piliers de la Macronie se retrouvent autour du chef de l'Etat pour peaufiner la stratégie politique de l'exécutif.Cette proximité, Gérard Collomb la doit au fait d'avoir cru avant tout le monde au destin présidentiel d'Emmanuel Macron.En août 2015, le maire de Lyon avait invité celui qui n'était alors que ministre de l'économie à l'Université des réformateurs, le pôle libéral du parti socialiste, pour y défendre sa vision de la société.",0
"Des mots prononcés plus tôt dans la journée par ses collègues du parti LR.A l'automne 2017, déjà, MoDem et LRM s'étaient divisés sur la ­politique familiale.Comme le groupe LR, les centristes avaient voté ­contre la diminution de la prestation d'accueil du jeune enfant (PAJE).Ils s'étaient également opposés sur la remise en cause de l'universalité des allocations familiales survenue au cours des débats sur le projet de loi de financement de la Sécurité sociale.",0
"Josselin de Rohan, le sénateur du Morbihan, qui dirigeait le groupe RPR, puis UMP, du Sénat depuis 1993, lui a succédé à la tête de la prestigieuse commission.Le « chiraquien » de choc pourra y terminer tranquillement sa carrière.« TROISIÈME TIERS »   Du coup, c'est le premier vice-président du groupe UMP, M. de Raincourt, qui hérite de la présidence.A priori, la promotion du sénateur de l'Yonne, proche de M. Raffarin et issu comme lui des rangs libéraux, pourrait paraître servir ses intérêts.",1
