text,value
"Malena Ernmans inblandning i politiken. Många utsätts dagligen för övergrepp till följd av mångkulturen. Lidande, smärta, förnedring, förföljelse. Svenskar som drivs från sina hem. Unga flickor som inte vågar gå till lekplatsen på sin egen gård, och så vidare. Mitt i allt detta blandar sig den rika artisten Malena Ernman in i det hela i ett försök att utnyttja kändisstatus för att trycka ner det vaknande folket som kämpar tappert för att göra motstånd mot åsiktsförföljelsen och den dagliga oron. Hur underminerar vi enklast denna figurs förmåga att sprida detta svenskfientliga budskap, i vanlig ordning maskerat som ""tolerans""?. Var finns det möjligheter att följa upp försäljningssiffrorna för Ernman för att studera effekten? Gissningsvis kommer en del PK-fjollor och finans-judar stödköpa hennes biljetter för att demoralisera svenskvänliga individer precis nu efter hennes uttalanden. Men på sikt måste vi se till att fundera ut hur vi ska få hennes försäljningssiffror att sjunk - givetvis börjar det med oss själva, och om vi känner någon som gillar Ernman måste vi anstränga oss för att få dem att sluta göra det. Även information som kan diskreditera och tydliggöra hyckleriet hos denna figur bör insamlas. Bor hon t.ex. på något fint etniskt homogent ställe där det är lätt att vara mångkulturalist utan att lida av konsekvenserna? I så fall var? Kan ej hitta hennes adressuppgifter. Exakt adress är inte det viktiga, bara vilket område det gäller så man kan se om det är mångkulturellt, ungefär som att Vpk-ledaren bor på Östermalm osv. Kan hon tänkas ha judiskt påbrå? Kommunistiska kopplingar? Eller är hon en ren lidandeprofitör som Bert Karlsson? Vilket som är hennes drivkraft är totalt avgörande för att kunna underminera hennes vilja att fortsätta med sitt svenskhat. Hoppas att flashbackgrävarna kan hjälpas åt att hitta information om hur man enklast kan övertyga denna otäcka människa att upphöra med sina angrepp mot svenska folket.",0
"Migrationsverket utvisar 17 årig nordkoreansk flykting. Jag undrar lite kring detta. Sverige öppnar sina dörrar på vid gavel för mer än 80 000 syrier och irakier som strömmar in i en tid när det är bostadsbrist och den svenska ekonomin tar stryk. Men politikerna försvarar alla sina beslut över att at emot dessa människor som tydligen alla flyr för sina liv. Vi vet alla hur det är i Nordkorea och hur svårt det är att ta sig ut ur landet levande, och om man lyckas riskeras man att skickas tillbaka och avrättas. Nu har en 17 årig nordkorean lyckas ta sig ut via Kina, och har tagit sig till Sverige. Svenska Migrationsverket avslår hans ansökan och han ska nu utvisas. Hur fucked up låter inte detta?. Är det så att Sverige hyser en stor förkärlek till just flyktingar från Mellanöstern men ratar andra. En ensamkommande tonåring från Nordkorea finns ingen orsak att neka asyl här. Låter helsjukt. Om det vore 80 000 nordkoreaner på flykt till Sverige hade vi haft våra hjärtan öppnade då och dörrarna på vid gavel? De vet man ju skulle avrättas om de skickades tillbaka till Kim Jong Un. Jag fattar inte. En enstaka flykting gör varken mer eller mindre här, men skonar livet för denna. Är övertygad om att 80 000 nordkoreaner hade varit ute i arbete inom några månader om de fått komma hit, om inte tidigare!.",1
"De fem stegen för att islamisera Sverige. Idag slog det mig plötsligt att situationen i Sverige är väldigt lik den som var under andra världskriget, men med spelpjäserna utbytta. Jag blir mer och mer övertygat om att Sverige lyder under någon form av yttre makt och i princip gör som vi blir tillsagda - för att inte drabbas av något som kan verka ännu hemskare än förödmjukelsen som att vara ""lydstat"" innebär. Under WW2 så lät vi Tyskarna frakta sina varor fritt inom rikets gränser och som tack för det, så slapp vi anfall. Idag så låter vi arabländerna frakta sin befolkning fritt inom landets gränser och som tack för det slipper vi terrordåd. Hur har då regeringen hanterat denna situation? Några förenklade punkter nedan. Första steget var att socialisera landet så vi blev ett lydfolk. Palme var dirigent och fick så småningom sätta livet till, tyvärr alldeles försent. Sverige blev världens mest socialiserade I-land och det sitter fortfarande i folksjälen. Andra steget var att neutralisera kyrkan. Detta såg många som en bra sak, men det var också ett måste för att en ny religion senare ska kunna få fäste. Tredje steget var att öka invandringen. Detta skedde i steg men har mer eller mindre exploderat de senaste decenniet. Majoriteten av invandrarna är muslimer och det har också skett ett förändring i attityd, där det är fult att vara svensk och fint att vara muslim. Detta var helt otänkbart för 30 år sen. Fjärde steget är att alla partier ska tycka EXAKT samma om invandring och islam. De har lyckats så pass bra att man idag, mer eller mindre, slopat demokratin för att bygga en regering som gör ALLT för att kritiska partier inte ska komma till tals. Precis allt är viktigare än att någon ska kunna kritisera islam och/eller invandring. Det har gått så långt att vi har renrasiga islamister i regeringen, som inte tvekar en sekund att stödja den värsta sorten av islam. Gammelmedia är naturligtvis på samma tåg och allt annat betecknas som hatsajter, rasism, nazism och fascism. Trots att det i övriga Europa är det normala att känna oro över andra kulturer och värna om sitt. Nu har vi kommit till femte steget -  att popularisera Islam över hela landet och alla ska med. Detta kan inte ske naturligt, utan regeringen måste starta upp ett stödprogram. Vi SKA förstå Islam och vi MÅSTE tycka om denna religion. För att riktigt skapa empati så ser man till att några Moskéer (inte riktiga, naturligtvis, utan några gamla fritidsgårdar som inte har något större värde) börjar brinna och skyller sen på Sverigedemokrater. Inget har bevisats, men i sann diktaturanda så slår man först och frågar sen. Vi SKA älska islam, kosta vad det kosta vill. Jag vågar knappt tänka på nästa steg blir. Ett muslimskt parti lagom till nästa val?.",0
"Konkurrens från nyanlända kommer bli större. ""Sverige Tillsammans"". Jag läste precis en artikel på Dagens Industri gällande regeringens nya satsning för att integrera våra nyanlända flyktingar in på arbetsmarknaden, kallat ""Sverige Tillsammans"". Länk:. Regeringen kommer alltså att ge företag en ny stor morot för att anställa nyanlända istället för etablerade svenskar. Företag som tar emot 100 nyanlända under en treårsperiod får en gräddfil till Arbetsförmedlingen. Det är en satsning för att nyanlända snabbare ska få jobb som statsminister Stefan Löfven presenterar i dag.. Så, hur kommer resultatet av denna satsning att landa i verkligheten?. Min egna gissning är att SD kommer få fler röster då redan etablerade/infödda svenskar kommer få svårare att hitta jobb. Konkurrensen om jobben kommer att växa lavinartat och frustrationen över detta kommer att riktas mot dem som tar jobben, flyktingarna. Det är inte längre prat om kompetens vs kompetens, vilket vore rättvist, utan istället vilka grupper som får flest subventioner hos arbetsgivare som bestämmer vem som får jobben. Vad tycker ni?.",1
"Regeringen ""enad"" om anhöriginvandring. Positivt och negativt om detta? Ska verkligen bli intressant att få höra anklagelser från vänsterbödeln som inte öppet vill redovisa kostnaderna för flyktingar men klagar på ökad socialbidrag i 80 kommuner (där många tar emot flyktingar). Ska kommuner som Göteborg, Malmö och Södertälje protestera mot detta? Samtidigt som vi får se snyftreportage om trångbodda lägenheter och att ta ansvar?.",0
Vad 17 är nu på gång? Etnisk registrering? Varför skulle de etniska minoriteterna i Sverige ha en annan sjukdomsbild än oss vanliga ussla svennar?.,0
"Kommer invandrarna sno våran historia? Det är alltid något som gett mig glädje i djupa depressioner av att se dessa rasfrämlingar varje dag är våran rika och svenska historia, och att jag har samma blod som rinner i mina ådror som var i dessa människor som levde på den tiden. Jag har börjat tänka i annorlunda banor de sista dagarna. Sverige kommer se ut som Brasilien om dagens invandring fortsätter. Kommer de ta våran historia? När det sitter 24st rasblandade ungar i ett klassrum kommer lärarna lära ut att de är lika mycket svenskar som Gustav Vasa? Kommer de förneka att det fanns etniska svenskar och att de är döda och utspridda bland dominerande negroida gener? Kommer det plötsligt börja existera svartmuskiga människor på 1800-talet i Sverige? Kommer dessa rasfrämlingar anse att de är en del av den svenska historian när deras förfäder inte ens levde här i Norden på den tiden?. Svensk historia är något som alltid kommer vara svenskt, men vad kommer dessa människor säga om 500-600 år? Hah, nu låter jag kanske lite paranoid, det kommer säkerligen inte existera skolor med tanke på att svenskarna kommer dö ut, då vi går i back efter varje dag. MOD får gärna flytta denna tråd till ett historia forum, jag hittade inte det, då jag tycker att det passar in här.",0
"Kommuner tvingas ta emot ensamkommande barn. Där rök den kommunala självständigheten. Det är tydligen fullt överallt, men, finns det hjärterum så finns det stjärterum.",0
"Ja, invandringen kostar samhället miljarder. Men hur många tusen kostar den mig? Det slängs mycket med miljarder hit och 10 miljarder dit när det berättas om vad invandringen kostar samhället. Personligen skiter jag i hur många miljarder den kosta. Jag vill veta vad den kostar mig och mitt hushåll i tusenlappar. Enligt denna trovärdiga länken så har vi ca 4,8 miljoner skattebetalare i åldern 15-74 år. För någon vecka sedan sades det att kostnaderna för ensamkommandes boendekostnader (endast boendet!) skulle uppgå till ca 30 miljarder i år. Det innebär att endast denna posten kostar mitt hushåll 30,000,000,000:-/4,800,000=6,250:-. Dessa 6,250:- kommer med största sannolikhet följa årets ensamkommande i minst 4 år innan de kommer bli självförsörjande och börja bidra själva (synnerligen lågt räknat). Så endast detta årets kull ensamkommande kommer kosta mig 6,250:-*4(år)=25,000:-. Likadant kommer det bli med nästa års kull, och nästa.....och nästa, suck. Finns det fler räkneexempel på vad denna galenskap till invandring kommer tas från mitt skattekonto?.",0
"Gärna flyktingar, men inte hos mig. Hej!. Det senaste har det kommit fram ett antal människor som röstar för en generös flyktingpolitik men helt ogenerat yttrar sig om att de helst inte vill ha dem nära sig själv och sin familj. Isabel Holmquist, Askim:. Notera det smått raljerande i att. minsann inte vill ha. i sin trädgård. Det finns fler exempel, förstås. I Göteborg var det tidigare i veckan ett informationsmöte angående de planerade flyktingboendena i västra delen av staden:. Människor flyr från krig och fattigdom och tanten har med största sannolikhet röstat för att de ska få komma hit, men nu när de kanske ska få bo i ett grönområde i hennes närhet så känner hon sig plötsligt diskriminerad (?). Mötet, eller snarare mötena, drog så mycket folk att inte alla fick plats och ett tredje möte planeras nu att hållas i en ännu större lokal. Det här stora intresset visar ju tydligt på hur obekvämt fiskebäcks-, långedrags- och askimsborna tycker att det är med flyktingar. Men, var hade de tänkt sig att flyktingarna ska bo? Är det rätt att tycka att man ska ta in flyktingar samtidigt som man uppenbarligen anser att man själv ska slippa ansvaret och de negativa konsekvenserna?. Kan man man klassificera dessa människor på något sätt? Handlar det om någon extrem form av ultracurlade kapitalistiska godhetsnarkomaner som helt har mist sin empatiska förmåga, eller helt enkelt bara riktigt, riktigt korkade människor?.",1
